-0.000002	0.000000	-0.153396	0.355610	-0.649243	0.317921	-0.961030	0.276635	-1.507143	0.225837	-5.201552	0.123201	-9.538567	0.091233	-19.181893	0.063958	-30.057956	0.050790
-0.000002	0.000000	-0.138517	0.361684	-0.643982	0.328432	-0.958218	0.286238	-1.505921	0.233837	-5.201446	0.127599	-9.538535	0.094490	-19.181885	0.066241	-30.057953	0.052603
-0.000002	0.000000	-0.123400	0.367136	-0.638551	0.338856	-0.955310	0.295812	-1.504656	0.241831	-5.201337	0.131996	-9.538503	0.097747	-19.181877	0.068524	-30.057950	0.054417
-0.000002	0.000000	-0.108070	0.371957	-0.632950	0.349190	-0.952306	0.305356	-1.503348	0.249817	-5.201225	0.136394	-9.538469	0.101004	-19.181869	0.070808	-30.057947	0.056230
-0.000002	0.000000	-0.092555	0.376137	-0.627182	0.359432	-0.949207	0.314870	-1.501998	0.257796	-5.201108	0.140791	-9.538434	0.104261	-19.181860	0.073091	-30.057943	0.058043
-0.000003	0.000000	-0.076880	0.379670	-0.621248	0.369579	-0.946013	0.324353	-1.500605	0.265768	-5.200988	0.145189	-9.538399	0.107518	-19.181852	0.075375	-30.057940	0.059856
-0.000003	0.000000	-0.061073	0.382551	-0.615149	0.379628	-0.942725	0.333803	-1.499170	0.273733	-5.200865	0.149586	-9.538362	0.110775	-19.181842	0.077658	-30.057936	0.061670
-0.000003	0.000000	-0.045161	0.384773	-0.608888	0.389577	-0.939343	0.343220	-1.497693	0.281690	-5.200737	0.153983	-9.538323	0.114032	-19.181833	0.079941	-30.057932	0.063483
-0.000003	0.000000	-0.029172	0.386334	-0.602465	0.399422	-0.935866	0.352602	-1.496173	0.289639	-5.200606	0.158380	-9.538284	0.117289	-19.181823	0.082225	-30.057928	0.065296
-0.000003	0.000000	-0.013132	0.387230	-0.595883	0.409161	-0.932296	0.361949	-1.494611	0.297579	-5.200471	0.162776	-9.538244	0.120545	-19.181813	0.084508	-30.057924	0.067109
-0.000003	0.000000	0.002930	0.387461	-0.589143	0.418793	-0.928633	0.371260	-1.493007	0.305512	-5.200333	0.167173	-9.538202	0.123802	-19.181803	0.086791	-30.057920	0.068923
-0.000004	0.000000	0.018987	0.387026	-0.582247	0.428313	-0.924877	0.380534	-1.491361	0.313435	-5.200191	0.171570	-9.538160	0.127059	-19.181793	0.089075	-30.057916	0.070736
-0.000004	0.000000	0.035012	0.385925	-0.575197	0.437720	-0.921028	0.389770	-1.489672	0.321350	-5.200045	0.175966	-9.538116	0.130316	-19.181782	0.091358	-30.057911	0.072549
-0.000004	0.000000	0.050976	0.384162	-0.567995	0.447011	-0.917088	0.398966	-1.487941	0.329256	-5.199895	0.180362	-9.538072	0.133573	-19.181771	0.093641	-30.057907	0.074363
